Date, Semantic
06-Oct-15, 0.187
07-Oct-15, 0.0975
08-Oct-15, 0.0
09-Oct-15, 0.0
10-Oct-15, 0.0
11-Oct-15, 0.0
12-Oct-15, 0.0
13-Oct-15, 0.0
14-Oct-15, 0.0
15-Oct-15, 0.0
16-Oct-15, 0.0
17-Oct-15, 0.0
18-Oct-15, 0.0
19-Oct-15, 0.0
20-Oct-15, 0.0
21-Oct-15, -0.021500000000000005
22-Oct-15, 0.0
23-Oct-15, 0.0
24-Oct-15, 0.0
25-Oct-15, 0.0
26-Oct-15, 0.0
27-Oct-15, 0.0
28-Oct-15, 0.0
29-Oct-15, 0.372
30-Oct-15, 0.0
31-Oct-15, 0.0
01-Nov-15, 0.0
02-Nov-15, 0.0
03-Nov-15, 0.0
04-Nov-15, 0.0
05-Nov-15, 0.0
06-Nov-15, 0.0
07-Nov-15, 0.0
08-Nov-15, 0.0
09-Nov-15, 0.0
10-Nov-15, 0.0
11-Nov-15, 0.0
12-Nov-15, 0.0
13-Nov-15, 0.0
14-Nov-15, 0.0
15-Nov-15, 0.0
16-Nov-15, 0.0
17-Nov-15, 0.0
18-Nov-15, 0.0
19-Nov-15, 0.0
20-Nov-15, 0.0
21-Nov-15, 0.0
22-Nov-15, 0.0
23-Nov-15, 0.0
24-Nov-15, 0.0
25-Nov-15, 0.0
26-Nov-15, 0.0
27-Nov-15, 0.0
28-Nov-15, 0.0
29-Nov-15, 0.0
30-Nov-15, 0.0
01-Dec-15, 0.0
02-Dec-15, 0.0
03-Dec-15, 0.0
04-Dec-15, 0.0
05-Dec-15, 0.0
06-Dec-15, 0.0
07-Dec-15, 0.0
08-Dec-15, 0.0
09-Dec-15, 0.0
10-Dec-15, 0.0
11-Dec-15, 0.0
12-Dec-15, 0.0
13-Dec-15, 0.0
14-Dec-15, 0.0
15-Dec-15, 0.0
16-Dec-15, 0.0
17-Dec-15, 0.0
18-Dec-15, 0.0
19-Dec-15, 0.0
20-Dec-15, 0.0
21-Dec-15, 0.0
22-Dec-15, 0.0
23-Dec-15, 0.0
24-Dec-15, 0.0
25-Dec-15, 0.0
26-Dec-15, 0.0
27-Dec-15, 0.0
28-Dec-15, 0.0
